Equipe
AC Ajaccio
AC Arles-Avignon
AJ Auxerre
AS Beauvais
AS Cherbourg
AS Monaco
AS Nancy Lorraine
AS Saint-Étienne
Amiens SC
Angers SCO
Aviron Bayonnais
CS Sedan
Chamois Niortais
Clermont Foot 63
Dijon FCO
EA Guingamp
ESTAC Troyes
FC Istres
FC Lorient
FC Martigues
FC Metz
FC Nantes
FC Rouen 1899
FC Sochaux
Gazélec FC Ajaccio
Girondins Bordeaux
Havre AC
LB Châteauroux
Le Mans FC
Le Poiré-sur-Vie VF
Lille OSC
Luzenac Ariège Pyrénées
Montpellier HSC
Nîmes Olympique
OGC Nice
Olympique Lyonnais
Olympique Marseille
Paris FC
Paris Saint-Germain
RC Lens
Racing Besançon
Red Star FC
SAS Épinal
SC Bastia
SM Caen
SR Colmar
Stade Brestois 29
Stade Lavallois
Stade Rennais
Stade de Reims
Toulouse FC
Tours FC
US Boulogne
US Créteil-Lusitanos
US Orléans
US Quevilly-Rouen
Valenciennes FC
Vannes OC
Étoile FC
Évian Thonon Gaillard
