Equipe
AC Ajaccio
AJ Auxerre
AS Beauvais
AS Cannes
AS Cherbourg
AS Monaco
AS Nancy Lorraine
AS Saint-Étienne
AS Yzeure FC
Amiens SC
Angers SCO
CS Sedan
Chamois Niortais
Clermont Foot 63
Dijon FCO
EA Guingamp
ESTAC Troyes
Entente SSG
FC Gueugnon
FC Istres
FC Libourne-Saint-Seurin
FC Lorient
FC Martigues
FC Metz
FC Nantes
FC Sochaux
FC Sète
Girondins Bordeaux
Grenoble Foot 38
Havre AC
LB Châteauroux
Le Mans FC
Lille OSC
Louhans-Cuiseaux
Montpellier HSC
Nîmes Olympique
OGC Nice
Olympique Lyonnais
Olympique Marseille
Paris FC
Paris Saint-Germain
Pau FC
RC Lens
RC Strasbourg
SC Bastia
SC Toulon
SM Caen
SO Châtellerault
SO Romorantin
Stade Brestois 29
Stade Lavallois
Stade Rennais
Stade de Reims
Toulouse FC
Tours FC
US Boulogne
US Créteil-Lusitanos
US Raon l'Etape
Valenciennes FC
Vannes OC
