date,competition,home_team,away_team,home_goals,away_goals,home_before,away_before,penalty_home,penalty_away,exp_home,exp_away,delta_home,delta_away,home_after,away_after
1997-08-09,ligue-2,Lille OSC,FC Martigues,7,3,1400.0,1385.0,0,0,0.5216,0.4784,14.35,-14.35,1414.35,1370.65
1997-08-09,ligue-2,Nîmes Olympique,AS Saint-Étienne,3,0,1385.0,1400.0,0,0,0.4784,0.5216,15.65,-15.65,1400.65,1384.35
1997-08-09,ligue-2,FC Mulhouse,SM Caen,4,2,1385.0,1385.0,0,0,0.5,0.5,15.0,-15.0,1400.0,1370.0
1997-08-09,ligue-2,Le Mans FC,AS Beauvais,1,1,1385.0,1415.0,0,0,0.4569,0.5431,1.29,-1.29,1386.29,1413.71
1997-08-09,ligue-1,RC Strasbourg,RC Lens,2,1,1600.0,1615.0,0,0,0.4784,0.5216,15.65,-15.65,1615.65,1599.35
1997-08-09,ligue-1,Havre AC,Montpellier HSC,4,0,1585.0,1600.0,0,0,0.4784,0.5216,15.65,-15.65,1600.65,1584.35
1997-08-09,ligue-1,Olympique Marseille,FC Nantes,1,0,1615.0,1585.0,0,0,0.5431,0.4569,13.71,-13.71,1628.71,1571.29
1997-08-09,ligue-1,FC Metz,Girondins Bordeaux,4,1,1615.0,1615.0,0,0,0.5,0.5,15.0,-15.0,1630.0,1600.0
1997-08-09,ligue-1,AS Cannes,Toulouse FC,0,1,1585.0,1615.0,0,0,0.4569,0.5431,-13.71,13.71,1571.29,1628.71
1997-08-09,ligue-1,AS Monaco,LB Châteauroux,2,2,1585.0,1585.0,0,0,0.5,0.5,0.0,0.0,1585.0,1585.0
1997-08-09,ligue-1,SC Bastia,EA Guingamp,1,0,1615.0,1615.0,0,0,0.5,0.5,15.0,-15.0,1630.0,1600.0
1997-08-09,ligue-2,AS Nancy Lorraine,ES Wasquehal,2,1,1385.0,1415.0,0,0,0.4569,0.5431,16.29,-16.29,1401.29,1398.71
1997-08-11,ligue-2,FC Lorient,OGC Nice,1,1,1415.0,1400.0,0,0,0.5216,0.4784,-0.65,0.65,1414.35,1400.65
1997-08-15,national,US Raon l'Etape,Paris FC,1,0,1200.0,1215.0,0,0,0.4784,0.5216,15.65,-15.65,1215.65,1199.35
1997-08-15,national,Saint-Denis Saint-Leu FC,Angers SCO,4,1,1198.71,1171.29,0,0,0.5394,0.4606,13.82,-13.82,1212.53,1157.47
1997-08-15,national,Stade Poitevin,Étoile FC,2,2,1200.0,1185.0,0,0,0.5216,0.4784,-0.65,0.65,1199.35,1185.65
1997-08-15,national,Olympique Noisy-le-Sec Banlieue 93,AS Angoulême Charente,1,2,1214.35,1200.0,0,0,0.5206,0.4794,-15.62,15.62,1198.73,1215.62
1997-08-15,national,US Créteil-Lusitanos,Thouars Foot 79,1,0,1215.0,1200.0,0,0,0.5216,0.4784,14.35,-14.35,1229.35,1185.65
1997-08-15,national,CS Sedan,SAS Épinal,1,2,1228.71,1200.65,0,0,0.5403,0.4597,-16.21,16.21,1212.5,1216.86
1997-08-15,national,Tours FC,US Lusitanos de Saint-Maur,1,1,1170.65,1201.29,0,0,0.456,0.544,1.32,-1.32,1171.97,1199.97
1997-08-15,national,FC Istres,RC France 92,4,1,1185.0,1214.35,0,0,0.4579,0.5421,16.26,-16.26,1201.26,1198.09
