date,competition,journee,equipe_dom,equipe_ext,buts_dom,buts_ext
1997-08-19,national,4,AS Angoulême Charente,Gazélec FC Ajaccio,2,0
1997-08-19,national,4,RC France 92,CS Sedan,0,1
1997-08-19,national,4,Angers SCO,US Lusitanos de Saint-Maur,3,2
1997-08-19,national,4,AC Ajaccio,Olympique Noisy-le-Sec Banlieue 93,2,1
1997-08-19,national,4,Paris FC,Tours FC,1,0
1997-08-20,ligue-2,4,Nîmes Olympique,Lille OSC,0,0
1997-08-20,ligue-2,4,Red Star FC,AS Saint-Étienne,1,0
1997-08-20,ligue-2,4,ASOA Valence,SC Toulon,2,1
1997-08-20,ligue-2,4,Amiens SC,Louhans-Cuiseaux,1,1
1997-08-20,ligue-2,4,ES Wasquehal,AS Beauvais,3,2
1997-08-20,ligue-2,4,ESTAC Troyes,SM Caen,2,1
1997-08-20,ligue-2,4,FC Gueugnon,OGC Nice,1,2
1997-08-20,ligue-2,4,Le Mans FC,FC Martigues,0,0
1997-08-20,ligue-2,4,FC Lorient,FC Sochaux,2,1
1997-08-20,ligue-2,4,FC Mulhouse,Chamois Niortais,3,0
1997-08-20,ligue-2,4,AS Nancy Lorraine,Stade Lavallois,2,0
1997-08-21,ligue-1,4,AS Cannes,Girondins Bordeaux,0,2
1997-08-21,ligue-1,4,RC Strasbourg,FC Nantes,1,2
1997-08-22,national,5,CS Sedan,AC Ajaccio,2,0
1997-08-22,national,5,Saint-Denis Saint-Leu FC,AS Angoulême Charente,1,2
1997-08-22,national,5,Stade Poitevin,US Créteil-Lusitanos,0,0
1997-08-22,national,5,Olympique Noisy-le-Sec Banlieue 93,RC France 92,0,1
1997-08-22,national,5,US Lusitanos de Saint-Maur,SAS Épinal,1,0
1997-08-22,national,5,US Raon l'Etape,Étoile FC,3,1
1997-08-22,national,5,FC Istres,Paris FC,1,1
1997-08-22,national,5,Tours FC,Angers SCO,4,1
1997-08-22,ligue-1,4,SC Bastia,LB Châteauroux,1,1
1997-08-22,ligue-1,4,Stade Rennais,AS Monaco,2,1
1997-08-22,ligue-1,4,Montpellier HSC,Toulouse FC,4,0
1997-08-22,ligue-1,4,Havre AC,Olympique Lyonnais,1,3
1997-08-22,ligue-1,4,Olympique Marseille,RC Lens,2,3
1997-08-22,ligue-1,4,FC Metz,Paris Saint-Germain,2,1
1997-08-22,ligue-1,4,AJ Auxerre,EA Guingamp,1,0
1997-08-23,ligue-2,5,OGC Nice,Amiens SC,1,1
1997-08-23,ligue-2,5,Chamois Niortais,AS Nancy Lorraine,2,1
1997-08-23,ligue-2,5,AS Saint-Étienne,FC Lorient,0,0
1997-08-23,ligue-2,5,FC Sochaux,Nîmes Olympique,1,0
1997-08-23,ligue-2,5,AS Beauvais,ASOA Valence,1,2
1997-08-23,ligue-2,5,FC Martigues,Red Star FC,2,0
1997-08-23,ligue-2,5,SM Caen,ES Wasquehal,6,0
1997-08-23,ligue-2,5,Stade Lavallois,ESTAC Troyes,2,1
1997-08-23,ligue-2,5,Lille OSC,Le Mans FC,2,0
1997-08-23,ligue-2,5,Louhans-Cuiseaux,FC Gueugnon,2,1
1997-08-23,ligue-2,5,SC Toulon,FC Mulhouse,2,1
1997-08-29,national,6,US Créteil-Lusitanos,US Raon l'Etape,1,0
1997-08-29,national,6,Stade Poitevin,Tours FC,4,1
1997-08-29,national,6,Thouars Foot 79,Olympique Noisy-le-Sec Banlieue 93,0,0
1997-08-29,national,6,SAS Épinal,Angers SCO,0,0
1997-08-29,national,6,AS Angoulême Charente,CS Sedan,1,2
1997-08-29,national,6,Étoile FC,Gazélec FC Ajaccio,1,4
1997-08-29,national,6,AC Ajaccio,Saint-Denis Saint-Leu FC,1,0
1997-08-29,ligue-2,6,Amiens SC,AS Saint-Étienne,0,0
1997-08-29,ligue-1,5,EA Guingamp,Olympique Marseille,1,1
1997-08-29,ligue-1,5,AS Monaco,FC Metz,1,2
1997-08-29,national,6,RC France 92,US Lusitanos de Saint-Maur,0,1
1997-08-30,ligue-2,6,AS Nancy Lorraine,SC Toulon,3,0
1997-08-30,ligue-2,6,Red Star FC,Lille OSC,1,1
1997-08-30,ligue-2,6,ESTAC Troyes,Chamois Niortais,1,0
1997-08-30,ligue-2,6,ASOA Valence,Louhans-Cuiseaux,2,1
1997-08-30,ligue-2,6,ES Wasquehal,Stade Lavallois,1,2
1997-08-30,ligue-2,6,SM Caen,FC Sochaux,2,1
1997-08-30,ligue-2,6,FC Gueugnon,AS Beauvais,1,1
1997-08-30,ligue-2,6,Le Mans FC,Nîmes Olympique,1,2
1997-08-30,ligue-2,6,FC Mulhouse,OGC Nice,1,1
1997-08-30,ligue-1,5,Toulouse FC,RC Strasbourg,1,1
1997-08-30,ligue-1,5,LB Châteauroux,AS Cannes,1,2
1997-08-30,ligue-1,5,Paris Saint-Germain,Stade Rennais,4,1
1997-08-30,ligue-1,5,Olympique Lyonnais,SC Bastia,0,2
1997-08-30,ligue-1,5,RC Lens,Montpellier HSC,0,0
1997-08-30,ligue-1,5,Girondins Bordeaux,AJ Auxerre,3,2
1997-08-30,ligue-1,5,FC Nantes,Havre AC,2,0
1997-08-30,ligue-2,6,FC Lorient,FC Martigues,5,1
1997-09-03,ligue-2,7,Chamois Niortais,ES Wasquehal,3,1
1997-09-03,ligue-2,7,AS Saint-Étienne,ESTAC Troyes,1,1
1997-09-03,ligue-2,7,FC Sochaux,Le Mans FC,0,2
1997-09-03,ligue-2,7,AS Beauvais,FC Lorient,1,1
1997-09-03,ligue-2,7,SC Toulon,Amiens SC,1,1
1997-09-03,ligue-2,7,Louhans-Cuiseaux,FC Mulhouse,0,0
1997-09-03,ligue-2,7,Stade Lavallois,SM Caen,0,2
1997-09-03,ligue-2,7,Lille OSC,FC Gueugnon,2,0
