2025-08-08,national,1,LB Châteauroux,Valenciennes FC,0,0
2025-08-08,national,1,FC Rouen 1899,FC Fleury 91,0,0
2025-08-08,national,1,Le Puy Foot 43,FC Sochaux,0,1
2025-08-08,national,1,US Orléans,Dijon FCO,1,2
2025-08-08,national,1,Paris 13 Atletico,US Quevilly-Rouen,1,0
2025-08-08,national,1,SM Caen,SC Aubagne Air Bel,3,0
2025-08-08,national,1,Stade Briochin,FC Versailles,0,1
2025-08-08,national,1,FC Villefranche Beaujolais,US Concarneau,0,0
2025-08-09,ligue-2,1,EA Guingamp,Le Mans FC,3,3
2025-08-09,ligue-2,1,ESTAC Troyes,Grenoble Foot 38,2,1
2025-08-09,ligue-2,1,Pau FC,FC Annecy,2,0
2025-08-09,ligue-2,1,Montpellier HSC,Red Star FC,1,1
2025-08-09,ligue-2,1,Rodez AF,AS Nancy Lorraine,0,0
2025-08-09,ligue-2,1,Stade Lavallois,AS Saint-Étienne,3,3
2025-08-09,ligue-2,1,USL Dunkerque,Clermont Foot 63,2,2
2025-08-11,ligue-2,1,Amiens SC,Stade de Reims,2,2
2025-08-15,ligue-1,1,Stade Rennais,Olympique Marseille,1,0
2025-08-15,ligue-2,2,AS Nancy Lorraine,US Boulogne,1,0
2025-08-15,ligue-2,2,Clermont Foot 63,ESTAC Troyes,0,0
2025-08-15,ligue-2,2,Red Star FC,Amiens SC,1,3
2025-08-15,ligue-2,2,Grenoble Foot 38,Stade Lavallois,1,1
2025-08-15,ligue-2,2,SC Bastia,Pau FC,1,1
2025-08-15,national,2,SC Aubagne Air Bel,FC Villefranche Beaujolais,3,1
2025-08-15,national,2,Dijon FCO,FC Rouen 1899,1,1
2025-08-15,national,2,LB Châteauroux,FC Bourg-Péronnas,2,2
2025-08-15,national,2,FC Fleury 91,Stade Briochin,4,1
2025-08-15,national,2,FC Sochaux,US Orléans,5,0
2025-08-15,national,2,US Quevilly-Rouen,SM Caen,1,1
2025-08-15,national,2,Valenciennes FC,Le Puy Foot 43,2,1
2025-08-15,national,2,FC Versailles,Paris 13 Atletico,2,1
2025-08-16,ligue-1,1,RC Lens,Olympique Lyonnais,0,1
2025-08-16,ligue-1,1,AS Monaco,Havre AC,3,1
2025-08-16,ligue-1,1,OGC Nice,Toulouse FC,0,1
2025-08-16,ligue-2,2,FC Annecy,USL Dunkerque,2,2
2025-08-16,ligue-2,2,Stade de Reims,EA Guingamp,1,0
2025-08-16,ligue-2,2,AS Saint-Étienne,Rodez AF,4,0
2025-08-17,ligue-1,1,Stade Brestois 29,Lille OSC,3,3
2025-08-17,ligue-1,1,AJ Auxerre,FC Lorient,1,0
2025-08-17,ligue-1,1,FC Metz,RC Strasbourg,0,1
2025-08-17,ligue-1,1,Angers SCO,Paris FC,1,0
2025-08-17,ligue-1,1,FC Nantes,Paris Saint-Germain,0,1
2025-08-18,ligue-2,2,Le Mans FC,Montpellier HSC,1,2
2025-08-22,ligue-1,2,Paris Saint-Germain,Angers SCO,1,0
2025-08-22,ligue-2,3,Clermont Foot 63,Grenoble Foot 38,2,1
2025-08-22,ligue-2,3,Le Mans FC,SC Bastia,1,0
2025-08-22,ligue-2,3,Rodez AF,Stade Lavallois,1,1
2025-08-22,ligue-2,3,Amiens SC,FC Annecy,0,1
